Log4j2, CVE-2021-45046
Xenomorph, trojan
Gloo Gateway, unauthorized access
Zimbra, CVE-2022-27924
Windows Scripting Engine, CVE-2021-26435
Guardicore, ol' switcheroo attack
Microsoft Internet Information Services, DLL side-loading
GitLab, CVE-2022-1162
Microsoft Translator, CVE-2021-34506
Simple Mail Transfer Protocol, Man-in-the-middle
Google Authenticator, EarSpy
Azure, Slowloris
ShadowPad, DLL search order hijacking
cPanel, SEC-575
Indusface AppTrana, Deepfake technology
CSM, CSM static credential vulnerability
FortiProxy, CVE-2023-33308
Safari, CVE-2021-30954
Gmail, unauthorized use
Kerberos, CVE-2020-16996
Fusion, CVE-2023-20870
ESET, HiddenAds malware
LenelS2, CVE-2022-31479
Guerilla, bypass SMS-based verification
D-Link devices, multiple exploits
UEFI firmware ROM, vulnerability
Jamf Threat Defense, malware
Small Business routers, CVE-2021-1337
iKVM remote control BMC functionality, CVE-2023-40288
Cynet, vulnerabilities
TCP protocol, TCP-non-compliance
Word, CVE-2023-36761
Dell, CVE-2021-21551
Bamboo Data Center, CVE-2022-23531
Safari, CVE-2023-4863
MinIO, CVE-2023-28432
Zimbra Collaboration, CVE-2022-27925
RV215W Routers, CVE-2021-34730
SQL Server, critical misconfiguration
OAuth, DDoS attacks
Veeam Backup & Replication, ProxyShell
AppSec, Injection
Microsoft Exchange, ProxyOracle
Windows Credential Manager, CVE-2023-21726
Microsoft, security vulnerabilities
Microsoft Office 365, credential access
Pulse Secure VPN, CVE-2019-11510
Gigabud RAT, phishing
Kernel, CVE-2022-32813
MSDT, CVE-2022-34713
WebP image format, CVE-2023-4863
Outlook for Mac, CVE-2022-23280
HID Mercury controllers, CVE-2022-31483
Realtek Jungle SDK, CVE-2021-35394
logistics platform, CVE
Synology Router Manager, CVE-2022-23123
SOVA, recording the device screens
Wired Equivalent Privacy, FragAttacks
Gitpaste-12, CVE-2020-17496
Web Server component, CVE-2023-40285
UEFI firmware, CVE-2022-1891
UEBA, applications
Print Spooler, CVE-2021-40447
ESET, malware
Avira, arbitrary delete vulnerabilities
StandardKeyboard, watering hole attacks
Chakra Scripting Engine, CVE-2021-42279
Chromium-based Edge browser, CVE-2023-23392
Dnsmasq, DNSpooq
TCP/IP, CVE-2021-24074
Azure portal, cross-site scripting (XSS) attacks
PC Keyboard, CVE-2022-45478
Safari, CVE-2020-9934
Adversarial ML Threat Matrix, trojan attacks
RV320, CVE-2021-1315
Feitian MultiPass FIDO / K13, CVE-2021-3011
VMware, CVE-2023-20887
CISA, spear phishing
American Megatrends (AMI) MegaRAC Baseboard Management Controller (BMC), CVE-2022-40242
Java, CWE-502
Samsung device, CVE-2023-21434
GitHub, unauthorized access
Microsoft Windows, CVE-2022-21840
OneDrive for Business, HTTP(S) flood attacks
OpenSSL, CVE-2022-3602
ggshield, vulnerabilities
Email Security Appliance, CVE-2022-20653
video conferencing, Insufficient Monitoring
RV340, CVE-2022-20700
Vulnerability Rewards Program, leakage of sensitive data
MITRE ATT&CK framework, critical vulnerabilities in database software
NPM JavaScript package repository, two-factor authentication (2FA)
ChatGPT, CVE-2023-28432
OAuth applications, data exfiltration
IoT devices, attacks against servers and network appliances
Microsoft Exchange Server, CVE-2021-26855
cloud management platforms, CVE-2023-2587
klown, crypto-mining malware
Fisheye, CVE-2022-23531
Cunning Heretics, zero-day exploits
Zoom, CVE-2022-22783
Cobalt Strike, malware
SaaS, unprotected files or directories
Android, IP address leak
ONVIF, CVE-2022-30563
Festo CPX-CEC-C1, CVE-2022-31806
video.apk, backdoor payload
Google's Android operating system, CVE-2022-38181
Grafana, data breaches
Apache, Log4j
SolarWinds Orion, Ryuk ransomware
setup.py, malicious code execution
Berkeley Internet Name Domain, denial-of-service
Linux kernel, CVE-2022-0492
iCloud, cross-site scripting (XSS)
Remote Desktop Client, CVE-2021-38666
Intel Xeon Scalable processors, hacking automotive systems
Google Play Store, misconfigurations
Windows Print Spooler, CVE-2021-34458
PyPI, malware
The Ultimate 2020 White Hat Hacker Certification Bundle, phishing
PingPull, unpatched internet-facing services
Trend Micro's Apex Central, CVE-2022-26871
3CXDesktopApp, information stealer
Hitachi Vantara's Pentaho Business Analytics, list of flaws
Bugcrowd, disclosure
Frozen-Deps, CodeCov attack
Multimedia Router (MMR) servers, zero-click attack
Microsoft Edge, CVE-2022-21893
PowerDMARC, malware
VMware vRealize Business for Cloud, CVE-2021-21984
UEFI, UEFI infections
Microsoft Exchange Servers, unpatched zero-day vulnerabilities
NetScan, watering hole attacks
Google Cloud Build, design flaw
Intel processors, Gather Value Injection
Adobe, CVE-2023-38205
Pegasus, zero-day exploits
PowerShell, CVE-2022-47966
PaperCut MF/NG, CVE-2023-39143
Exchange Server, CVE-2021-26857
Hitachi Energy APM Edge, 29 vulnerabilities
InHand Networks InRouter 615, CVE-2022-46650
Generative AI DLP, governance
QuTS, CVE-2022-23122
FortiGate VPN servers, CVE-2018-13379
Safari, CVE-2021-1789
VLC, remote code execution
Windows Explorer Preview Pane, CVE-2022-30190
Citizen Lab, CVE-2023-41064
Kernel, CVE-2022-32844
PyPI repository, crypto-mining malware
Xerox, privilege escalation
Linphone, NULL pointer dereference vulnerability
SaaS Security on Tap, SaaS-to-SaaS access
mail.tm, two-factor authentication (2FA)
Kaseya, CVE-2021-30116
Pulse Connect Secure, CVE-2021-22900
Aethon TUG smart autonomous mobile robots, JekyllBot:5
iOS, doorLock
Samsung Android devices, CVE-2020-11292
Atlassian Confluence Data Center and Server, zero-day vulnerabilities
Lemon Group, backdoor
Curl, CVE-2023-38545
Facebook, federal wiretapping laws
DSR-500, modification of the router configuration file to inject rogue CRON entries
Google Chrome, Spectre
Microsoft Remote Procedure Call, CVE-2022-38045
User Mode Print Driver, NULL-Deref vulnerability
PyPI, supply chain attacks
Arm Mali GPU driver, CVE-2023-26083
Legion, PHP vulnerabilities
AMI MegaRAC Baseboard Management Controller, CVE-2022-2827
TrojAI, trojan attacks
SharePoint Server, CVE-2022-21893
Microsoft, nOAuth
GitGuardian, exposed secrets
PHP/Composer, CWE-400
Windows, CVE-2021-36947
EPMM, CVE-2023-35078
Azure AD, nOAuth
Cisco AnyConnect, CVE-2020-3153
Process Explorer, Bring Your Own Vulnerable Driver (BYOVD)
RV320, CVE-2021-1318
Device42, CVE-2022-1401
microprocessors, Spectre
Go, CVE-2021-42694
cloud management platforms, CVE-2023-2586
Google Workspace, ransomware attacks
Amazon Web Services, HTTP/2 Rapid Reset
pytorch, typosquatting
Safari, CVE-2021-30936
Cisco SD-WAN vManage Software, CVE-2021-1137
Telegram, stolen credentials
Trend Micro, DLL hijacking flaw
Uniform Resource Locator (URL) parsing libraries, denial-of-service conditions
iOS 15.3, CVE-2022-22587
POP, single-factor authentication
iOS 13.5.1, zero-click exploit
Aethon Tug hospital robots, JekyllBot:5
Amazon NICE DCV, privilege escalation
Gloo Portal, weak authentication
TLS protocol, TLStorm
miniOrange's Social Login and Register plugin, CVE-2023-2982
TeaBot, Account Takeover
Ultimate Member, CVE-2023-3460
Active Directory, identity threats
Windows Print Spooler, CVE-2022-22041
CLM, elevation of privilege
Windows Installers, CVE-2023-26078
Gartner, ransomware
Questions for Confluence, CVE-2022-26138
Log4j2, Log4Shell
Google, CVE-2022-2856
Samba, CVE-2020-1472
WinVerifyTrust, CVE-2013-3900
Configuration utility, CVE-2023-46747
Wireshark, remote code execution
Borat RAT, Remote Access Trojan
GitHub, exposed secrets
DDoS, double extortion
Festo, CVE-2022-3270
iOS, fundamental design flaw in the IEEE 802.11 Wi-Fi protocol standard
Atlassian Confluence Data Center, CVE-2023-22515
HAProxy, Integer Overflow
Android apps, exposing cloud storage access keys
Backstage, DDoS attacks
FileWave, CVE-2022-34906
IRemoteWinspool, CVE-2021-1678
GitHub, Log4Shell
OpenOffice, remote code execution
Win32k.sys, CVE-2023-29336
Distributed File System, NTLM relay attack
Windows Kernel, CVE-2022-29133
SafeDNS, phishing
Cl0p, zero-day vulnerabilities
Exim, CVE-2023-42116
Hopper, misconfigured services
iOS, trojans
vm2 JavaScript library, CVE-2023-30547
Apple iOS, CVE-2018-4344
Vue PACS, CVE-2021-27501
Zyxel firewall devices, CVE-2022-30525
Python-based reverse shell, watering hole attacks
NetSPI's Attack Surface Management solution, vulnerabilities
Thanos, RIPlace technique
Windows operating system, PetitPotam
HTTP Protocol Stack, CVE-2022-21849
iOS 14.4, remote code execution
Desired State Configuration, typosquatting attacks
IP cameras, vulnerable IoT devices
FreeBSD, CVE-2022-23093
Visa, unpatched flaw
Safari, zero-day flaws
baseboard management controller firmware, CVE-2021-26727
Microsoft, HiveNightmare
Salesforce, patient-zero infections
Redis, CVE-2022-0543
Microsoft, CVE-2022-41080
xRAT, SSL-VPN
Identity Provider, data leaks
The Ultimate 2020 White Hat Hacker Certification Bundle, malware
DrayTek, CVE-2022-32548
Windows Hello, CVE-2021-34466
SSL-VPN, CVE-2022-42475
Microsoft Message Queuing, CVE-2023-36434
SSPM, compromised account
JavaScript, malicious code
Android, malware remote control systems
PyPI, information stealers
Small Business routers, CVE-2021-1295
.NET-based implants, watering hole attacks
PC Keyboard, CVE-2022-45479
IP Phone 7800, CVE-2022-20968
Microsoft Sentinel, exploits
iOS, CVE-2023-23529
BYOD, browser data loss
DSR Family, remotely exploitable root command injection flaw
iOS, malware
Cisco Fabric Services Over IP, CVE-2022-20624
VMware ESXi, known flaws
Microsoft products, remote code execution (RCE) vulnerabilities
Adversarial ML Threat Matrix, model evasion attacks
V15, CVE-2021-3970
Windows, CVE-2021-34527
V8 JavaScript engine, CVE-2021-30632
Exchange Server, Log4Shell
Avalue Renity Artemis Enterprise Kit, zero-days
Windows Remote Desktop Services, CVE-2019-0708
SharePoint Server, CVE-2021-27076
WP Super Cache, vulnerabilities
WinZip Enterprise, accidental email leaks
Open Source INTelligence (OSINT), zero-days
GitGuardian, security by obscurity
ImageMagick, arbitrary code execution
Secure Boot, CVE-2021-3971
Cloud Access Security Brokers, data leaks
generative AI, vulnerabilities
Onehub, Zerologon vulnerability
Teltonika Networks RMS, CVE-2023-2586
Conti, ransomware
Atlassian, CVE-2022-26136
API, SQL injection
Apache Commons Text, CVE-2022-42889
Vivaldi, CVE-2023-5217
Tesla, remote code execution
OpenBSD OpenBGPd, CVE-2023-38283
Workstation, CVE-2023-20872
Unified Extensible Firmware Interface, CVE-2023-24932
iOS 14.8, CVE-2021-31010
net/http, ParseThru
Twitter, vulnerability
x32dbg.exe, DLL side-loading
CODESYS V2.3, CVE-2021-30187
Nova 106, CVE-2023-0053
monitoring and management tools, sophisticated skimming malware
cloud-based management solutions, CVE-2023-2587
Microsoft, CVE-2022-21907
Mirai, known vulnerabilities
Google Play Protect, Joker malware
SaaS Security, data leaks
GitHub, stolen OAuth user tokens
Google Home, Light Commands
Intel eIBRS, Spectre-V2
Slack, shadow IT risks
G-Suite, policy changes and violations
Dynatrace, DDoS attacks
Amazon Web Services, misconfigured Amazon Web Services (AWS) Simple Storage Service (S3) bucket
NTLM, CVE-2021-1678
Dark Herring, fleeceware
ctx Python package, account takeover attack
SysAid Server, Log4Shell
Microsoft, ProxyOracle
cloud management platforms, CVE-2023-2588
Exchange Server, CVE-2021-26855
MIPS-based fiber routers, zero-day vulnerabilities
Visual Basic Script, EDR bypass
GitHub Desktop for Mac, compromised credentials
Secure Boot, CVE-2022-1892
JSON-RPC, vulnerabilities
Microsoft Exchange Server 2016, ProxyLogon flaws
Ivanti Sentry, CVE-2023-38035
Arm, GPU.zip
DKIM, impersonation attacks
Echo, versioning
PlugX, DLL side-loading
DKIM, domain spoofing
Realtek RTL8195A, CVE-2020-9395
tru.ID platform, SIM swap fraud
Rust repository, poison legitimate artifacts
VMWare ESXi Hypervisor, CVE-2023-29552
ISO disk image, CVE-2021-36934
DDR4, SMASH
PostgreSQL, misconfigurations in PostgreSQL servers
Oracle WebLogic, CVE-2020-14750
Cobalt Strike, CVE-2021-22205
Android OS, electromagnetic fault injection (EMFI) attacks
SolarWinds Orion, five publicly known vulnerabilities
IaaS, IaaS misconfiguration
Cloud Security Posture Management tools, misconfigurations
Microsoft Edge, cross-origin pixel stealing
Polkit, CVE-2021-3560
wspvuhub.sys, buffer overflow
RV130W, CVE-2021-1459
Philips Clinical Collaboration Platform Portal, CVE-2021-27501
Zendesk, security breaches
web application firewalls, API breaches
Phoenix Contact, OT:ICEFALL
VMware, CVE-2023-20864
WhatsApp, vulnerable WordPress engines
crypto-standarts, dependency confusion attacks
vRealize Suite Lifecycle Manager, CVE-2021-22026
antivirus software, Cut-and-Mouse
Sidewalk, Bluetooth
Oracle 6, Log4j vulnerability
Microsoft, CVE-2022-41049
Teltonika Networks RMS, CVE-2023-2587
Internet Explorer, outdated browsers
Microsoft, CVE-2023-36761
Apache OpenMeetings, weak hash comparison
Google Play Store, Joker
PHP/Composer, CWE-20
MITRE, Cross-Site Request Forgery
Logitech Z120 speakers, side-channel attack
Google Play Protect, EarSpy
Microsoft Windows, loophole
PaperCut, CVE-2023–27351
CODESYS, CVE-2022-22515
Microsoft Office, CVE-2023-36884
Log4j logging framework, open-redirect phishing attacks
Plex Media Server, reflection/amplification DDoS attacks
CraxsRAT, Google Play protect bypass
Text-to-SQL models, SQL injection faults
macOS, CVE-2021-30807
Mimecast, man-in-the-middle (MitM) attack
SureMDM console, escalate privileges
Upstox, security breach
Kaseya VSA, CVE-2021-30116
Fortinet FortiGate SSL-VPN, high-severity vulnerabilities
Perimeter 81, known malware
DMARC, ransomware
Microsoft Internet Information Services, DLL search-order hijacking
ProxyLogon Microsoft Exchange Server vulnerabilities, Mustang Panda
Redis, CVE-2018-8014
Small Business routers, CVE-2021-1315
Nerapack loader, Exchange server flaws
bitcoinlib, typosquatting
NanoSSL, TLStorm 2.0
Microsoft Exchange, ProxyLogon Exchange flaws
Windows Camera Codec Pack, CVE-2020-16968
UAParser.js, compromise
VMware ESXi, in-the-wild vulnerabilities
Google Chrome, CVE-2022-0096
Intel Skylake CPU, Spectre
SAP SuccessFactors, virtual private network (VPN)
Microsoft Active Directory Domain Services, password spraying attack
Malwarebytes, insufficient identity checks
API keys, weak authentication
Google Chrome, ad injection
ESXi, CVE-2021-21974
AnalyticDB for PostgreSQL, BrokenSesame
UnRAR, CVE-2022-30333
Google Compute Engine, unpatched security vulnerability
Microsoft Exchange Servers, Chinese Exchange server hacks
Windows Common Log File System (CLFS) Driver, CVE-2022-37969
Microsoft 365, password spray
Qualys, vulnerabilities
Azure AD Connect, SSL-encrypted channels exploitation
iPadOS, CVE-2023-32373
Monterey, CVE-2022-42821
Securus, CVE-2018-9995
Mozilla Firefox, CVE-2019-9810
AppTrana, Distributed denial of service
Apple devices, air gapped systems
Mitsubishi safety programmable logic controllers, authentication bypass vulnerability
C standard library, remote code execution vulnerabilities
Cybersecurity Advisor Program, ransomware
npm, account takeover attack
Telerik UI for ASP.NET AJAX, CVE-2017-11357
iOS, CVE-2022-32917
Files, CVE-2022-26485
Hubspot, security breaches
Ruby, CWE-20
Rust, CVE-2021-42574
IAM, Misconfigurations
Microchip Technology, impersonation attacks
BIMI, BEC
MediaTek system-on-chips, CVE-2021-0662
Ruckus Wireless Admin panel, CVE-2023-25717
OAuth, weak authorization
LockBit v3.0, ransomware
Tor v0.4.3.5, website fingerprinting attacks
Microsoft Office, CVE-2012-0158
Gravity Forms, CVE-2023-28782
ProxyLogon, HyperBro
iPad, doorLock
Windows Error Reporting, CVE-2020-16909
Android smartphones, remote command execution vulnerability
AWS, plaintext credentials
Analytics, CVE-2023-34123
Microsoft Exchange Servers, zero-day flaws
SonarLint, compromised accounts
iPadOS, CVE-2023-28204
Itaú Unibanco application, trojan
Wazuh, CVE
Amazon Web Services, cross-tenant vulnerability
VMware Identity Manager, CVE-2022-22955
Netlogon Remote Control Protocol, Zerologon
Owl Labs Meeting Owl, CVE-2022-31461
SiennaBlue, CVE-2022-26352
TMUI, CVE-2022-1388
CSPM, security breaches
Wordfence, Cross-site request forgery
Log4j2, CVE-2021-45105
network slicing, identity theft
cellular modem chips, CVE-2020-11292
API management suites, weak authentication
Windows, CVE-2021-36968
RDP Gateway, deprecated
LibSSL, security holes in open source software components
Envoy, DDoS attacks
Application Guard for Office, CVE-2022-30190
mobile phone, SIM swap fraud
CraxsRat, EarSpy
Windows, CVE-2021-26855
MailChimp, unauthorized parties accessed accounts
AMD processors, CVE-2022-23823
GitLab Community Edition, CVE-2022-2884
video conferencing, Weak Authentication Techniques
Nucleus, CVE-2021-31886
Cryptojacking, Cryptojacking
VPN, triple extortion
Reminders, going dark
Gmail, data leaks
Microsoft, CVE-2013-3900
Spring Core, CVE-2010-1622
Lenovo consumer laptop models, CVE-2021-3972
npm CLI, critical flaws
MalRhino, accessibility service abuse
iPadOS 15.7.2, CVE-2022-42856
GCP, plaintext credentials
RV215W routers, CVE-2021-1459
Safari, CVE-2021-1871
CODESYS V3, CVE-2022-47381
SINEC, CVE-2021-33722
uClibc-ng, DNS poisoning
APIs, SQL injection
VMware App Control administration interface, CVE-2022-22952
QuaDream, zero-click exploit
SolarWinds, vulnerability
Cl0p, one-day security flaws
Active Directory, compromised credentials
X86_64 architecture, CVE-2022-2274
iOS 13.5.1, zero-day
crypto-js, typosquatting
Avaya network switches, remote code execution vulnerabilities
